nominal_duration,plan_duration_pippo,plan_duration,dsadsa
56.2299995422363,151.420385122299,131.420385122299,151.420385122299
135.620111465454,154.616527557373,134.616527557373,154.616527557373
137.926116943359,171.617261648178,151.617261648178,171.617261648178
149.907148361206,166.214699745178,146.214699745178,166.214699745178
148.407411575317,159.839661359787,139.839661359787,159.839661359787
145.79126739502,178.617862224579,158.617862224579,178.617862224579
155.861268997192,153.418638467789,133.418638467789,153.418638467789
144.481580734253,169.024657249451,149.024657249451,169.024657249451
149.796211242676,160.619823217392,140.619823217392,160.619823217392
147.395177841187,154.019774913788,134.019774913788,154.019774913788
141.074529647827,159.024042844772,139.024042844772,159.024042844772
143.364604949951,157.637512922287,137.637512922287,157.637512922287
141.12331199646,158.824584245682,138.824584245682,158.824584245682
142.14266204834,160.628349304199,140.628349304199,160.628349304199
143.88102722168,166.424731731415,146.424731731415,166.424731731415
147.811248779297,164.622352123261,144.62235212326,164.622352123261
148.821020126343,153.225008964539,133.225008964539,153.225008964539
141.490606307983,173.02383184433,153.02383184433,173.02383184433
151.355842590332,183.225576400757,163.225576400757,183.225576400757
161.080640792847,165.818005800247,145.818005800247,165.818005800247
153.823400497437,173.824416160584,153.824416160583,173.824416160584
156.231115341187,166.820499658585,146.820499658585,166.820499658585
153.443511962891,153.618422985077,133.618422985077,153.618422985077
142.944904327393,155.622908115387,135.622908115387,155.622908115387
141.85498046875,160.227267026901,140.227267026901,160.227267026901
143.040742874146,167.852015733719,147.852015733719,167.852015733719
148.402500152588,192.423871040344,172.423871040344,192.423871040344
165.038387298584,164.432274341583,144.432274341583,164.432274341583
157.393880844116,169.422259092331,149.422259092331,169.422259092331
152.057922363281,161.628750801086,141.628750801086,161.628750801086
148.416025161743,154.627273797989,134.627273797989,154.627273797989
143.122606277466,163.621878147125,143.621878147125,163.621878147125
146.075387954712,179.647096157074,159.647096157074,179.647096157074
155.786794662476,162.044390678406,142.044390678406,162.044390678406
150.114921569824,186.033316373825,166.033316373825,186.033316373825
161.684019088745,163.625183582306,143.625183582306,163.625183582306
154.033327102661,173.830643415451,153.830643415451,173.830643415451
156.166530609131,156.422736883163,136.422736883163,156.422736883163
145.427289962769,178.434040307999,158.434040307999,178.434040307999
155.394924163818,156.626600265503,136.626600265503,156.626600265503
146.436073303223,151.82647895813,131.82647895813,151.82647895813
139.763160705566,169.226519107819,149.226519107819,169.226519107819
150.216779708862,156.427098274231,136.427098274231,156.427098274231
142.567819595337,160.026858091354,140.026858091354,160.026858091354
143.194900512695,160.439128875732,140.439128875732,160.439128875732
145.459367752075,182.82900762558,162.82900762558,182.82900762558
159.363410949707,159.423912286758,139.423912286758,159.423912286758
146.206714630127,161.825374603272,141.825374603272,161.825374603272
146.571031570435,157.629492759705,137.629492759705,157.629492759705
143.537498474121,178.231616973877,158.231616973877,178.231616973877
